"Original Position (x, y)","New Position (row, col)"
"(11, 13)","(4, 22)"
"(12, 13)","(4, 23)"
"(13, 8)","(4, 24)"
"(13, 9)","(4, 25)"
"(13, 10)","(4, 26)"
"(13, 11)","(4, 27)"
"(13, 12)","(4, 28)"
"(13, 13)","(4, 29)"
"(3, 8)","(4, 30)"
"(3, 9)","(4, 31)"
"(3, 10)","(5, 31)"
"(3, 11)","(5, 30)"
"(3, 12)","(5, 29)"
"(4, 12)","(5, 28)"
"(5, 12)","(5, 27)"
"(6, 12)","(5, 26)"
"(7, 12)","(5, 25)"
"(8, 12)","(5, 24)"
"(9, 12)","(5, 23)"
"(10, 12)","(5, 22)"
"(11, 12)","(5, 21)"
"(12, 8)","(5, 20)"
"(12, 9)","(5, 19)"
"(12, 10)","(5, 18)"
"(12, 11)","(5, 17)"
"(12, 12)","(5, 16)"
"(4, 8)","(6, 16)"
"(4, 9)","(6, 17)"
"(4, 10)","(6, 18)"
"(4, 11)","(6, 19)"
"(5, 11)","(6, 20)"
"(6, 11)","(6, 21)"
"(7, 11)","(6, 22)"
"(8, 11)","(6, 23)"
"(9, 11)","(6, 24)"
"(10, 11)","(6, 25)"
"(11, 8)","(6, 26)"
"(11, 9)","(6, 27)"
"(11, 10)","(6, 28)"
"(11, 11)","(6, 29)"
"(5, 8)","(6, 30)"
"(5, 9)","(6, 31)"
"(5, 10)","(7, 31)"
"(6, 10)","(7, 30)"
"(7, 10)","(7, 29)"
"(8, 10)","(7, 28)"
"(9, 10)","(7, 27)"
"(10, 8)","(7, 26)"
"(10, 9)","(7, 25)"
"(10, 10)","(7, 24)"
"(6, 8)","(7, 23)"
"(6, 9)","(7, 22)"
"(7, 9)","(7, 21)"
"(8, 9)","(7, 20)"
"(9, 8)","(7, 19)"
"(9, 9)","(7, 18)"
"(7, 8)","(7, 17)"
"(8, 8)","(7, 16)"
